ID Cliente,Abandono,Género,Veterano,Casado,Dependientes Económicos,Antigüedad (meses),Servicio Telefónico,Factura Electrónica,Cargo Mensual,Cargo Total,Cuentas Diarias,Multilinea Telefónica: No,Multilinea Telefónica: Sin teléfono,Multilinea Telefónica: Sí,Internet: DSL,Internet: Fibra Óptica,Internet: No,Seguridad en Linea: No,Seguridad en Linea: Sin Internet,Seguridad en Linea: Sí,Respaldo en Linea: No,Respaldo en Linea: Sin Internet,Respaldo en Linea: Sí,Protección de Dispositivo: No,Protección de Dispositivo: Sin Internet,Protección de Dispositivo: Sí,Soporte Técnico: No,Soporte Técnico: Sin Internet,Soporte Técnico: Sí,TV en Streaming: No,TV en Streaming: Sin Internet,TV en Streaming: Sí,Películas en Streaming: No,Películas en Streaming: Sin Internet,Películas en Streaming: Sí,Contrato: Mes a Mes,Contrato: Un Año,Contrato: Dos Años,Método de Pago: Transferencia Bancaria,Método de Pago: Tarjeta de crédito,Método de Pago: Cheque electrónico,Método de Pago: Cheque enviado por correo,No. Servicios Extras
0002-ORFBO,0,1,0,1,1,9,1,1,65.6,593.3,2.1866666666666665,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,2
0003-MKNFE,0,0,0,0,0,9,1,0,59.9,542.4,1.9966666666666666,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
0004-TLHLJ,1,0,0,0,0,4,1,1,73.9,295.6,2.4633333333333334,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
0011-IGKFF,1,0,1,1,0,13,1,1,98.0,1274.0,3.2666666666666666,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2
0013-EXCHZ,1,1,1,1,0,3,1,1,83.9,267.4,2.796666666666667,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1
0013-MHZWF,0,1,0,0,1,9,1,1,69.4,624.6,2.3133333333333335,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1
0013-SMEOE,0,1,1,1,0,71,1,1,109.7,7788.7,3.6566666666666667,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,4
0014-BMAQU,0,0,0,1,0,63,1,1,84.65,5377.8,2.8216666666666668,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,2
0015-UOCOJ,0,1,1,0,0,7,1,1,48.2,337.40000000000003,1.6066666666666667,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
0016-QLJIS,0,1,0,1,1,65,1,1,90.45,5957.9,3.015,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,4
0017-DINOC,0,0,0,0,0,54,0,0,45.2,2440.8,1.5066666666666668,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,2
0017-IUDMW,0,1,0,1,1,72,1,1,116.8,8409.6,3.893333333333333,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,4
0018-NYROU,0,1,0,1,0,5,1,1,68.95,351.5,2.2983333333333333,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0019-EFAEP,0,1,0,0,0,72,1,1,101.3,7293.599999999999,3.3766666666666665,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,3
0019-GFNTW,0,1,0,0,0,56,0,0,45.05,2560.1,1.5016666666666665,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,4
0020-INWCK,0,1,0,1,1,71,1,1,95.75,6849.4,3.191666666666667,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2
0020-JDNXP,0,1,0,1,1,34,0,0,61.25,1993.2,2.0416666666666665,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,3
0021-IKXGC,0,1,1,0,0,1,1,1,72.1,72.1,2.4033333333333333,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0022-TCJCI,1,0,1,0,0,45,1,0,62.7,2791.5,2.0900000000000003,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,2
0023-HGHWL,1,0,1,0,0,1,0,1,25.1,25.1,0.8366666666666667,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0023-UYUPN,0,1,1,1,0,50,1,0,25.2,1306.3,0.84,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
0023-XUOPT,1,1,0,1,0,13,1,0,94.1,1215.6,3.1366666666666663,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2
0027-KWYKW,0,1,0,1,1,23,1,1,83.75,1926.25,2.7916666666666665,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
0030-FNXPP,0,1,0,0,0,3,1,0,19.85,57.2,0.6616666666666667,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0031-PVLZI,1,1,0,1,1,4,1,0,20.35,81.4,0.6783333333333333,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0032-PGELS,1,1,0,1,1,1,0,0,30.5,30.5,1.0166666666666666,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
0036-IHMOT,0,1,0,1,1,55,1,1,103.7,5703.5,3.4566666666666666,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,3
0040-HALCW,0,0,0,1,1,54,1,0,20.4,1090.6,0.6799999999999999,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
0042-JVWOJ,0,0,0,0,0,26,1,1,19.6,509.6,0.6533333333333334,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
0042-RLHYP,0,1,0,1,1,69,1,0,19.7,1396.9,0.6566666666666666,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
0048-LUMLS,0,0,0,1,1,37,1,0,91.2,3374.4,3.04,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0048-PIHNL,0,1,0,1,0,49,1,0,20.45,900.9,0.6816666666666666,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
0052-DCKON,0,0,0,1,0,66,1,0,115.8,7642.8,3.86,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,4
0052-YNYOT,0,1,0,0,0,67,1,0,20.55,1343.4,0.685,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
0056-EPFBG,0,0,0,1,1,20,0,1,39.4,825.4,1.3133333333333332,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,3
0057-QBUQH,0,1,0,0,1,43,1,1,25.1,1079.3,0.8366666666666667,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
0058-EVZWM,0,1,0,1,0,55,1,1,89.8,4959.6,2.993333333333333,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
0060-FUALY,0,1,0,1,0,59,1,1,94.75,5590.25,3.158333333333333,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2
0064-SUDOG,0,1,0,1,1,12,1,0,20.3,224.5,0.6766666666666666,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
0064-YIJGF,0,0,0,1,1,27,1,1,75.75,1929.0,2.525,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
0067-DKWBL,1,0,1,0,0,2,1,1,49.25,91.1,1.6416666666666666,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
0068-FIGTF,0,1,0,0,0,27,1,0,78.2,2111.4,2.606666666666667,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,3
0071-NDAFP,0,0,0,1,1,25,1,0,25.5,630.6,0.85,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
0074-HDKDG,0,0,0,1,1,25,1,1,61.6,1611.0,2.0533333333333332,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,3
0076-LVEPS,0,0,0,0,1,29,0,1,45.0,1305.0,1.5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,4
0078-XZMHT,0,0,0,1,0,72,1,1,85.15,6316.2,2.8383333333333334,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,3
0080-EMYVY,0,1,0,0,0,14,1,0,51.45,720.3000000000001,1.715,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
0080-OROZO,0,1,0,0,0,35,1,1,99.25,3532.0,3.308333333333333,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,2
0082-LDZUE,0,0,0,0,0,1,1,1,44.3,44.3,1.4766666666666666,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0082-OQIQY,0,0,0,0,0,29,1,1,94.2,2607.6,3.14,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1
0083-PIVIK,0,0,0,0,0,64,1,0,81.25,5200.0,2.7083333333333335,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,4
0089-IIQKO,0,1,0,1,1,39,1,1,99.95,3767.4,3.3316666666666666,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1
0093-EXYQL,0,1,1,0,0,40,1,1,91.55,3673.6,3.0516666666666667,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
0093-XWZFY,1,0,0,0,0,40,1,1,104.5,4180.0,3.4833333333333334,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2
0094-OIFMO,1,1,1,0,0,11,1,1,95.0,1120.3,3.1666666666666665,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
0096-BXERS,0,1,0,1,0,6,1,0,50.35,302.1,1.6783333333333335,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0096-FCPUF,0,0,0,0,0,30,1,1,64.5,1935.0,2.15,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
